District,County Name,City,Locale,Charter,Students,Teachers,Student Teacher Ratio,Directly Certified,Type
Neighborhood House Charter,Suffolk County,Dorchester,"City, Large",Yes,786,77.74,10.11,502,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,621,46.26,13.42,275,Regular
Central Berkshire,Berkshire County,Dalton,"Rural, Fringe",No,353,30.4,11.61,142,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,2878,212.66,13.53,2267,Regular
Quabbin,Worcester County,New Braintree,"Rural, Distant",No,29,2,14.5,19,Regular
New Heights Charter School of Brockton,Plymouth County,Brockton,"Suburban, Large",Yes,734,49.09,14.95,385,Regular
Chesterfield-Goshen,Hampshire County,Chesterfield,"Rural, Distant",No,126,14.38,8.76,38,Regular
Salem,Essex County,Salem,"Suburban, Large",No,36,4.46,8.07,23,Regular
Southern Berkshire,Berkshire County,Sheffield,"Rural, Distant",No,58,6.86,8.45,11,Regular
Boston,Suffolk County,Hyde Park,"City, Large",No,715,61.85,11.56,486,Other/Alternative
Triton,Essex County,Newbury,"Suburban, Large",No,424,39.52,10.73,87,Regular
Newburyport,Essex County,Newburyport,"Suburban, Large",No,743,72.11,10.3,90,Regular
Needham,Norfolk County,Needham,"Suburban, Large",No,696,56.4,12.34,54,Regular
Newton,Middlesex County,Newton,"City, Small",No,173,17.29,10.01,40,Regular
Newton,Middlesex County,Newtonville,"City, Small",No,2096,194.47,10.78,331,Regular
