District,County Name,City,Locale,Charter,Students,Teachers,Student Teacher Ratio,Directly Certified,Type
Marlborough,Middlesex County,Marlborough,"Suburban, Large",No,965,103.36,9.34,600,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,488,41.67,11.71,404,Regular
Newton,Middlesex County,Waban,"City, Small",No,383,38.1,10.05,30,Regular
Blackstone-Millville,Worcester County,Blackstone,"Suburban, Large",No,0,0,†,†,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,658,60.78,10.83,418,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,372,25.93,14.35,150,Regular
Westford,Middlesex County,Westford,"Suburban, Large",No,371,28.44,13.05,25,Regular
Florida,Berkshire County,Florida,"Rural, Fringe",No,83,16,5.19,28,Regular
Abby Kelley Foster Charter Public,Worcester County,Worcester,"City, Midsize",Yes,1426,125.99,11.32,825,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,82,4,20.5,17,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,530,46.87,11.31,183,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,668,47.54,14.05,202,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,196,18.17,10.79,144,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,224,19.35,11.58,122,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,600,52.33,11.47,412,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,687,49.7,13.82,573,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,492,41,12,387,Regular
Weymouth,Norfolk County,Weymouth,"Suburban, Large",No,357,23.63,15.11,146,Regular
Academy Of the Pacific Rim Charter Public,Suffolk County,Hyde Park,"City, Large",Yes,509,55.3,9.2,323,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,1622,120.21,13.49,176,Regular
Acushnet,Bristol County,Acushnet,"Suburban, Midsize",No,517,39.05,13.24,164,Regular
Boston,Suffolk County,East Boston,"City, Large",No,237,33.6,7.05,180,Regular
Everett,Middlesex County,Everett,"Suburban, Large",No,162,9,18,107,Regular
Lunenburg,Worcester County,Lunenburg,"Suburban, Midsize",No,10,1,10,6,Special Education
Advanced Math and Science Academy Charter,Middlesex County,Marlborough,"Suburban, Large",Yes,970,81.64,11.88,†,Regular
Agawam,Hampden County,Agawam,"Suburban, Large",No,135,7,19.29,61,Regular
Agawam,Hampden County,Agawam,"Suburban, Large",No,1025,93.29,10.99,385,Regular
Agawam,Hampden County,Feeding Hills,"Suburban, Large",No,527,60.07,8.77,221,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,399,40.9,9.76,336,Regular
Acushnet,Bristol County,Acushnet,"Suburban, Midsize",No,403,31.1,12.96,115,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,553,41.09,13.46,222,Regular
Southborough,Worcester County,Southborough,"Suburban, Large",No,286,21,13.62,23,Regular
Concord,Middlesex County,Concord,"Suburban, Large",No,438,37.62,11.64,64,Regular
Duxbury,Plymouth County,Duxbury,"Suburban, Large",No,622,52.5,11.85,55,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,462,41.25,11.2,401,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,432,31.4,13.76,199,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,623,58.19,10.71,541,Regular
Oxford,Worcester County,Oxford,"Suburban, Large",No,313,25,12.52,127,Regular
Northboro-Southboro,Worcester County,Northborough,"Suburban, Large",No,1197,110.55,10.83,146,Regular
Westport,Bristol County,Westport,"Suburban, Large",No,163,10.86,15.01,60,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,292,24.45,11.94,225,Regular
Reading,Middlesex County,Reading,"Suburban, Large",No,365,28.5,12.81,44,Regular
Boston,Suffolk County,East Boston,"City, Large",No,109,11.65,9.36,46,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,236,22.82,10.34,162,Regular
Alma del Mar Charter School,Bristol County,New Bedford,"Suburban, Midsize",Yes,1042,93.73,11.12,788,Regular
Winchester,Middlesex County,Winchester,"Suburban, Large",No,398,32.93,12.09,17,Regular
Amesbury,Essex County,Amesbury,"Suburban, Large",No,481,44.15,10.89,143,Regular
Amesbury,Essex County,Amesbury,"Suburban, Large",No,50,5.75,8.7,40,Regular
Amesbury,Essex County,Amesbury,"Suburban, Large",No,364,39.75,9.16,130,Regular
Amherst-Pelham,Hampshire County,Amherst,"City, Small",No,816,72.08,11.32,254,Regular
Amherst-Pelham,Hampshire County,Amherst,"City, Small",No,366,39.42,9.28,120,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,413,37.67,10.96,104,Regular
North Attleborough,Bristol County,North Attleborough,"Suburban, Large",No,417,28,14.89,105,Regular
Andover,Essex County,Andover,"Suburban, Large",No,1609,125.47,12.82,190,Regular
Andover,Essex County,Andover,"Suburban, Large",No,508,42.02,12.09,70,Regular
Dartmouth,Bristol County,Dartmouth,"Suburban, Midsize",No,92,7.1,12.96,32,Regular
Plainville,Norfolk County,Plainville,"Suburban, Large",No,324,26.1,12.41,114,Regular
North Andover,Essex County,North Andover,"Suburban, Large",No,462,33,14,102,Regular
Williamsburg,Hampshire County,Williamsburg,"Rural, Fringe",No,111,16.99,6.53,40,Regular
Westborough,Worcester County,Westborough,"Suburban, Large",No,305,29.98,10.17,31,Regular
North Andover,Essex County,North Andover,"Suburban, Large",No,441,32.81,13.44,40,Regular
Franklin,Norfolk County,Franklin,"Suburban, Large",No,322,34.95,9.21,75,Regular
Boston,Suffolk County,Hyde Park,"City, Large",No,253,22.5,11.24,201,Other/Alternative
Freetown-Lakeville,Plymouth County,Lakeville,"Rural, Fringe",No,640,58.8,10.88,127,Regular
Braintree,Norfolk County,Braintree,"Suburban, Large",No,327,30.8,10.62,116,Regular
Argosy Collegiate Charter School,Bristol County,Fall River,"Suburban, Large",Yes,587,55.4,10.6,416,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,558,62.5,8.93,513,Regular
Arlington,Middlesex County,Arlington,"Suburban, Large",No,1677,123.25,13.61,179,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,543,44.5,12.2,476,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,482,40.84,11.8,308,Regular
Fitchburg,Worcester County,Fitchburg,"Suburban, Midsize",No,614,54,11.37,465,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,196,23.4,8.38,172,Regular
Winthrop,Suffolk County,Winthrop,"Suburban, Large",No,467,29,16.1,157,Regular
Reading,Middlesex County,Reading,"Suburban, Large",No,405,37.3,10.86,37,Regular
North Middlesex,Middlesex County,Ashby,"Rural, Fringe",No,152,12.2,12.46,43,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,474,37.4,12.67,302,Regular
Ashland,Middlesex County,Ashland,"Suburban, Large",No,884,63.09,14.01,201,Regular
Ashland,Middlesex County,Ashland,"Suburban, Large",No,685,58.7,11.67,160,Regular
Assabet Valley Regional Vocational Technical,Middlesex County,Marlborough,"Suburban, Large",No,1144,113.34,10.09,505,Vocational
Freetown-Lakeville,Plymouth County,Lakeville,"Rural, Fringe",No,431,33.2,12.98,84,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,256,24.47,10.46,81,Regular
Athol-Royalston,Worcester County,Athol,"Rural, Fringe",No,589,42.3,13.92,367,Regular
Athol-Royalston,Worcester County,Athol,"Town, Fringe",No,417,36.1,11.55,241,Regular
Athol-Royalston,Worcester County,Athol,"Rural, Fringe",No,446,34.57,12.9,277,Regular
North Andover,Essex County,North Andover,"Suburban, Large",No,274,23.72,11.55,113,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,601,34.7,17.32,272,Regular
Atlantis Charter,Bristol County,Fall River,"Suburban, Large",Yes,1246,106,11.75,726,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,64,8.27,7.74,41,Other/Alternative
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,2030,132.96,15.27,740,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,39,1.8,21.67,10,Regular
Auburn,Worcester County,Auburn,"Rural, Fringe",No,628,46.21,13.59,158,Regular
Auburn,Worcester County,Auburn,"Suburban, Large",No,834,69.2,12.05,221,Regular
Dedham,Norfolk County,Dedham,"Suburban, Large",No,321,31.4,10.22,134,Regular
Avon,Norfolk County,Avon,"Suburban, Large",No,409,43.51,9.4,191,Regular
Ayer Shirley School District,Middlesex County,Ayer,"Suburban, Large",No,417,36.34,11.47,119,Regular
Ayer Shirley School District,Middlesex County,Shirley,"Suburban, Large",No,410,33,12.42,145,Regular
Beverly,Essex County,Beverly,"Suburban, Large",No,388,27.4,14.16,77,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,2642,233.25,11.33,1912,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,516,39.3,13.13,369,Regular
Norwood,Norfolk County,Norwood,"Suburban, Large",No,303,29.07,10.42,170,Regular
Boston,Suffolk County,Brighton,"City, Large",No,165,17.61,9.37,90,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,99,11.2,8.84,78,Regular
Andover,Essex County,Andover,"Suburban, Large",No,522,42.87,12.18,52,Regular
Framingham,Middlesex County,Framingham,"City, Small",No,671,50.73,13.23,434,Regular
Barnstable,Barnstable County,Hyannis,"City, Small",No,293,26.2,11.18,184,Regular
Barnstable,Barnstable County,Hyannis,"City, Small",No,1652,155.28,10.64,876,Regular
Barnstable,Barnstable County,Hyannis,"City, Small",No,642,63.02,10.19,361,Regular
Barnstable,Barnstable County,Marston Mills,"City, Small",No,714,67,10.66,370,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,209,15.5,13.48,164,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,359,30.16,11.9,235,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,408,46.05,8.86,319,Regular
Webster,Worcester County,Webster,"Suburban, Large",No,408,35.17,11.6,282,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,45,7.2,6.25,32,Regular
Salem,Essex County,Salem,"Suburban, Large",No,410,32.73,12.53,222,Regular
Boston,Suffolk County,Roslindale,"City, Large",No,281,27.61,10.18,116,Regular
Southern Worcester County Regional Vocational School Distric,Worcester County,Charlton,"Rural, Fringe",No,1188,122.5,9.7,377,Vocational
Baystate Academy Charter Public School,Hampden County,Springfield,"City, Midsize",Yes,388,57.8,6.71,324,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,346,37.87,9.14,238,Regular
Plainville,Norfolk County,Plainville,"Suburban, Large",No,331,25.6,12.93,103,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,491,39.1,12.56,168,Regular
Central Berkshire,Berkshire County,Becket,"Rural, Distant",No,91,8.85,10.28,41,Regular
Bedford,Middlesex County,Bedford,"Suburban, Large",No,868,77.62,11.18,97,Regular
Malden,Middlesex County,Malden,"Suburban, Large",No,921,61.31,15.02,520,Regular
Quincy,Norfolk County,Quincy,"Rural, Fringe",No,343,23.2,14.78,163,Regular
Gloucester,Essex County,Gloucester,"Suburban, Large",No,292,30.5,9.57,155,Regular
Boston,Suffolk County,West Roxbury,"City, Large",No,287,24.16,11.88,173,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,245,21,11.67,185,Regular
Belchertown,Hampshire County,Belchertown,"Rural, Fringe",No,573,47.97,11.94,121,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,776,81.1,9.57,479,Regular
Bellingham,Norfolk County,Bellingham,"Suburban, Large",No,740,59.5,12.44,215,Regular
Bellingham,Norfolk County,Bellingham,"Suburban, Large",No,586,34.22,17.12,212,Regular
Belmont,Middlesex County,Belmont,"Suburban, Large",No,1454,92.1,15.79,179,Regular
Belmont,Middlesex County,Belmont,"Suburban, Large",No,742,47.8,15.52,67,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,615,41.6,14.78,550,Regular
Saugus,Essex County,Saugus,"Suburban, Large",No,814,51,15.96,383,Regular
Benjamin Banneker Charter Public,Middlesex County,Cambridge,"City, Midsize",Yes,352,19,18.53,207,Regular
Benjamin Franklin Classical Charter Public,Norfolk County,Franklin,"Suburban, Large",Yes,898,76.2,11.78,153,Regular
Taunton,Bristol County,Taunton,"Suburban, Large",No,701,45.49,15.41,389,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,219,15.03,14.57,26,Regular
Agawam,Hampden County,Agawam,"Suburban, Large",No,304,22.64,13.43,138,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,486,38.5,12.62,439,Regular
Leominster,Worcester County,Leominster,"Suburban, Midsize",No,115,6,19.17,50,Regular
Natick,Middlesex County,Natick,"Suburban, Large",No,504,38.7,13.02,52,Regular
Salem,Essex County,Salem,"Suburban, Large",No,286,19.96,14.33,205,Regular
Berkley,Bristol County,Berkley,"Suburban, Large",No,459,32.47,14.14,127,Regular
Berkley,Bristol County,Berkley,"Rural, Fringe",No,374,26.92,13.89,85,Regular
Berkshire Arts and Technology Charter Public,Berkshire County,Adams,"Town, Fringe",Yes,364,38.54,9.44,205,Regular
Berlin-Boylston,Worcester County,Berlin,"Suburban, Large",No,242,20.29,11.93,41,Regular
Pioneer Valley,Franklin County,Bernardston,"Rural, Fringe",No,201,18.55,10.84,51,Regular
Hamilton-Wenham,Essex County,Wenham,"Suburban, Large",No,255,17.99,14.17,17,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,227,17.5,12.97,144,Regular
Beverly,Essex County,Beverly,"Suburban, Large",No,1213,99.05,12.25,394,Regular
Beverly,Essex County,Beverly,"Suburban, Large",No,1388,111.7,12.43,462,Regular
Newton,Middlesex County,Newton,"City, Small",No,434,43.53,9.97,81,Regular
Billerica,Middlesex County,Billerica,"Suburban, Large",No,1816,129.02,14.08,461,Regular
Reading,Middlesex County,Reading,"Suburban, Large",No,359,33.4,10.75,35,Regular
East Longmeadow,Hampden County,East Longmeadow,"Suburban, Large",No,590,54.17,10.89,148,Regular
Boston,Suffolk County,Boston,"City, Large",No,582,60.18,9.67,529,Regular
Blackstone-Millville,Worcester County,Blackstone,"Suburban, Large",No,534,39.3,13.59,188,Regular
Blackstone Valley Regional Vocational Technical,Worcester County,Upton,"Suburban, Large",No,1243,110.5,11.25,227,Vocational
Acton-Boxborough,Middlesex County,Boxborough,"Suburban, Large",No,469,39.5,11.87,58,Regular
Westford,Middlesex County,Westford,"Suburban, Large",No,541,45.08,12,61,Regular
Easton,Bristol County,North Easton,"Suburban, Large",No,762,55.5,13.73,173,Regular
Blue Hills Regional Vocational Technical,Norfolk County,Canton,"Rural, Fringe",No,910,82.02,11.09,321,Vocational
Longmeadow,Hampden County,Longmeadow,"Suburban, Large",No,362,32.96,10.98,36,Regular
Boston,Suffolk County,Back Bay,"City, Large",No,227,22.01,10.31,202,Other/Alternative
Boston,Suffolk County,Boston,"City, Large",No,500,51.94,9.63,297,Other/Alternative
Boston,Suffolk County,South Boston,"City, Large",No,210,20.65,10.17,176,Other/Alternative
Boston Collegiate Charter,Suffolk County,Dorchester,"City, Large",Yes,708,73,9.7,296,Regular
Boston Day and Evening Academy Charter,Suffolk County,Roxbury,"City, Large",Yes,323,29.54,10.93,254,Other/Alternative
Boston Green Academy Horace Mann Charter School,Suffolk County,Brighton,"City, Large",Yes,426,41.58,10.25,343,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,490,55.7,8.8,430,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,1693,94.7,17.88,815,Regular
Boston,Suffolk County,Boston,"City, Large",No,2424,129.92,18.66,758,Regular
Boston Preparatory Charter Public,Suffolk County,Hyde Park,"City, Large",Yes,700,58.5,11.97,457,Regular
Boston Renaissance Charter Public,Suffolk County,Hyde Park,"City, Large",Yes,938,84,11.17,655,Regular
Boston,Suffolk County,Jamaica Plain,"City, Large",No,249,28.8,8.65,139,Regular
Bourne,Barnstable County,Bourne,"Suburban, Large",No,341,35.8,9.53,122,Regular
Bourne,Barnstable County,Bourne,"Suburban, Large",No,359,34.89,10.29,128,Regular
Bourne,Barnstable County,Bourne,"Suburban, Large",No,394,44.15,8.92,156,Regular
Bourne,Barnstable County,Bournedale,"Rural, Fringe",No,425,33.15,12.82,154,Regular
Wilmington,Middlesex County,Wilmington,"Suburban, Large",No,128,10.12,12.65,18,Regular
Groton-Dunstable,Middlesex County,Groton,"Suburban, Large",No,77,5,15.4,5,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,411,33.22,12.37,343,Regular
Newton,Middlesex County,Newton Centre,"City, Small",No,325,32.5,10,52,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,260,23.36,11.13,105,Regular
Lexington,Middlesex County,Lexington,"Suburban, Large",No,429,38.45,11.16,43,Regular
Walpole,Norfolk County,Walpole,"Suburban, Large",No,395,37.58,10.51,81,Regular
Berlin-Boylston,Worcester County,Boylston,"Suburban, Large",No,347,27.05,12.83,43,Regular
Arlington,Middlesex County,Arlington,"Suburban, Large",No,394,29.96,13.15,18,Regular
Haverhill,Essex County,Bradford,"Suburban, Large",No,443,44,10.07,261,Regular
Boston,Suffolk County,East Boston,"City, Large",No,292,27.1,10.77,171,Regular
Braintree,Norfolk County,Braintree,"Suburban, Large",No,1694,108.05,15.68,471,Regular
North Adams,Berkshire County,North Adams,"Town, Fringe",No,342,35,9.77,274,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,1265,98.23,12.88,947,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,318,25.19,12.62,262,Regular
Lexington,Middlesex County,Lexington,"Suburban, Large",No,345,35.55,9.7,42,Regular
Bridge Boston Charter School,Suffolk County,Roxbury,"City, Large",Yes,329,30.48,10.79,252,Regular
Northampton,Hampshire County,Northampton,"City, Small",No,281,27.73,10.13,141,Regular
Bridgewater-Raynham,Plymouth County,Bridgewater,"Suburban, Large",No,828,50.05,16.54,218,Regular
Bridgewater-Raynham,Plymouth County,Bridgewater,"Suburban, Large",No,1487,82.33,18.06,438,Regular
Ashburnham-Westminster,Worcester County,Ashburnham,"Rural, Fringe",No,461,37.85,12.18,126,Regular
Boston,Suffolk County,Brighton,"City, Large",No,667,73.65,9.06,586,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,456,31.45,14.5,428,Regular
Brimfield,Hampden County,Brimfield,"Rural, Fringe",No,258,27.61,9.34,66,Regular
Bristol County Agricultural,Bristol County,Dighton,"Rural, Fringe",No,631,52.98,11.91,176,Vocational
Bristol-Plymouth Regional Vocational Technical,Bristol County,Taunton,"Suburban, Large",No,1335,99.81,13.38,360,Vocational
Quincy,Norfolk County,Quincy,"Suburban, Large",No,318,28.5,11.16,165,Regular
Needham,Norfolk County,Needham,"Suburban, Large",No,502,35.74,14.05,34,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,3598,211.55,17.01,2520,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,30,9.57,3.13,27,Other/Alternative
Brockton,Plymouth County,Brockton,"Suburban, Large",No,122,14,8.71,96,Regular
Brooke Charter School,Suffolk County,Mattapan,"City, Large",Yes,2216,178.21,12.43,1356,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,532,34.35,15.49,367,Regular
Brookfield,Worcester County,Brookfield,"Rural, Fringe",No,289,26.02,11.11,82,Regular
Brookline,Norfolk County,Brookline,"Suburban, Large",No,47,5,9.4,6,Regular
Brookline,Norfolk County,Chestnut Hill,"Suburban, Large",No,46,5.85,7.86,9,Regular
Brookline,Norfolk County,Brookline,"Suburban, Large",No,2181,183.5,11.89,329,Regular
Medford,Middlesex County,Medford,"Suburban, Large",No,556,43.99,12.64,79,Regular
Milford,Worcester County,Milford,"Suburban, Large",No,578,51.71,11.18,362,Regular
Dracut,Middlesex County,Dracut,"Suburban, Large",No,487,31.97,15.23,173,Regular
Framingham,Middlesex County,Framingham,"City, Small",No,504,42.11,11.97,296,Regular
Natick,Middlesex County,Natick,"Suburban, Large",No,494,39,12.67,95,Regular
Pembroke,Plymouth County,Pembroke,"Suburban, Large",No,421,30.01,14.03,93,Regular
Auburn,Worcester County,Auburn,"Suburban, Large",No,241,17.27,13.95,81,Regular
Mohawk Trail,Franklin County,Shelburne Falls,"Rural, Distant",No,270,18.13,14.89,112,Regular
Sturbridge,Worcester County,Sturbridge,"Town, Fringe",No,842,70.03,12.02,188,Regular
Medway,Norfolk County,Medway,"Suburban, Large",No,506,28.6,17.69,81,Regular
Burlington,Middlesex County,Burlington,"Suburban, Large",No,1019,90.16,11.3,217,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,720,53.15,13.55,474,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,1073,80.73,13.29,731,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,223,20.6,10.83,199,Regular
Chelmsford,Middlesex County,Chelmsford,"Suburban, Large",No,510,39.25,12.99,91,Regular
Hudson,Middlesex County,Hudson,"Suburban, Large",No,474,45,10.53,204,Regular
Newton,Middlesex County,Auburndale,"City, Small",No,350,31.4,11.15,52,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,408,29.5,13.83,59,Regular
Newton,Middlesex County,Newtonville,"City, Small",No,414,37.6,11.01,53,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,1062,84.5,12.57,503,Regular
Shrewsbury,Worcester County,Shrewsbury,"Suburban, Large",No,287,22.32,12.86,80,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,2072,223.44,9.27,794,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,301,36.4,8.27,127,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,263,27.05,9.72,87,Regular
Framingham,Middlesex County,Framingham,"City, Small",No,592,53.69,11.03,377,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,329,25.81,12.75,280,Regular
Canton,Norfolk County,Canton,"Suburban, Large",No,968,73.81,13.11,227,Regular
Cape Cod Lighthouse Charter,Barnstable County,East Harwich,"Suburban, Large",Yes,251,21.3,11.78,65,Regular
Cape Cod Regional Vocational Technical,Barnstable County,Harwich,"Suburban, Large",No,682,62.46,10.92,241,Vocational
Lynn,Essex County,Lynn,"Suburban, Large",No,361,41.48,8.7,194,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,369,37.33,9.88,138,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,250,22.86,10.94,93,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,121,11.89,10.18,85,Regular
Carlisle,Middlesex County,Carlisle,"Rural, Fringe",No,612,59.91,10.22,30,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,242,25.6,9.45,213,Regular
Salem,Essex County,Salem,"Suburban, Large",No,247,23.74,10.4,113,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,712,46.98,15.16,595,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,116,8,14.5,35,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,28,1,28,25,Regular
Carver,Plymouth County,Carver,"Rural, Fringe",No,788,55.95,14.08,240,Regular
Carver,Plymouth County,Carver,"Rural, Fringe",No,688,71.24,9.66,189,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,551,45.75,12.04,322,Regular
Hanover,Plymouth County,Hanover,"Suburban, Large",No,479,27.35,17.51,54,Regular
Mattapoisett,Plymouth County,Mattapoisett,"Suburban, Midsize",No,227,24.18,9.39,49,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,123,7,17.57,61,Regular
Longmeadow,Hampden County,Longmeadow,"Suburban, Large",No,412,35.91,11.47,48,Regular
Hanover,Plymouth County,Hanover,"Suburban, Large",No,582,35.75,16.28,53,Regular
Chelmsford,Middlesex County,Chelmsford,"Suburban, Large",No,480,37.35,12.85,66,Regular
Tewksbury,Middlesex County,Tewksbury,"Suburban, Large",No,812,57.31,14.17,151,Regular
Leominster,Worcester County,Leominster,"Suburban, Midsize",No,821,39.93,20.56,413,Vocational
Nashoba,Middlesex County,Stow,"Suburban, Large",No,485,38.3,12.66,50,Regular
Beverly,Essex County,Beverly,"Suburban, Large",No,327,28.5,11.47,134,Regular
Barnstable,Barnstable County,Centerville,"City, Small",No,267,24,11.13,115,Regular
East Bridgewater,Plymouth County,East Bridgewater,"Suburban, Large",No,520,42,12.38,127,Regular
Institutional Schools,Worcester County,Westborough,"Suburban, Large",No,–,–,†,†,Special Education
Quincy,Norfolk County,Quincy,"Suburban, Large",No,671,42.3,15.86,228,Regular
Wachusett,Worcester County,Rutland,"Rural, Fringe",No,369,26.88,13.73,69,Regular
Somerset,Bristol County,Somerset,"Suburban, Large",No,297,26.71,11.12,90,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,163,10.3,15.83,120,Regular
Duxbury,Plymouth County,Duxbury,"Suburban, Large",No,665,52,12.79,46,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,402,27.73,14.5,368,Regular
Boston,Suffolk County,Hyde Park,"City, Large",No,194,21.14,9.18,145,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,339,23.5,14.43,102,Regular
Amesbury,Essex County,Amesbury,"Suburban, Large",No,413,33.5,12.33,144,Regular
Chelmsford,Middlesex County,North Chelmsford,"Suburban, Large",No,468,38.15,12.27,122,Regular
Newton,Middlesex County,Newton Centre,"City, Small",No,713,68.2,10.45,61,Regular
Wrentham,Norfolk County,Wrentham,"Suburban, Large",No,357,32.5,10.98,50,Regular
Norwood,Norfolk County,Norwood,"Suburban, Large",No,267,24.15,11.06,109,Regular
Marlborough,Middlesex County,Marlborough,"Suburban, Large",No,631,51.93,12.15,387,Regular
Northern Berkshire Regional Vocational Technical,Berkshire County,North Adams,"Rural, Fringe",No,514,48.46,10.61,208,Vocational
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,272,20.25,13.43,198,Regular
Milton,Norfolk County,Milton,"Suburban, Large",No,1002,86.53,11.58,148,Regular
Foxborough,Norfolk County,Foxborough,"Suburban, Large",No,278,24.5,11.35,59,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,497,40,12.43,329,Regular
Boston,Suffolk County,Charlestown,"City, Large",No,754,93.46,8.07,622,Regular
Framingham,Middlesex County,Framingham,"City, Small",No,436,34.9,12.49,179,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,448,36,12.44,385,Regular
Dudley-Charlton Reg,Worcester County,Charlton,"Rural, Fringe",No,333,25.7,12.96,98,Regular
Dudley-Charlton Reg,Worcester County,Charlton,"Rural, Fringe",No,631,48.5,13.01,184,Regular
Southbridge,Worcester County,Southbridge,"Town, Fringe",No,288,21,13.71,244,Regular
Monomoy Regional School District,Barnstable County,Chatham,"Suburban, Large",No,146,18.2,8.02,60,Regular
Chelmsford,Middlesex County,North Chelmsford,"Suburban, Large",No,1402,100.3,13.98,210,Regular
Chelsea,Suffolk County,Chelsea,"Suburban, Large",No,1649,125.72,13.12,1285,Regular
Chelsea,Suffolk County,Chelsea,"Suburban, Large",No,132,7.03,18.78,95,Other/Alternative
Chelsea,Suffolk County,Chelsea,"Suburban, Large",No,54,6.43,8.4,42,Regular
Gateway,Hampden County,Chester,"Rural, Distant",No,114,12.51,9.11,50,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,265,27.9,9.5,196,Regular
Belchertown,Hampshire County,Belchertown,"Rural, Fringe",No,494,33.83,14.6,129,Regular
Dover,Norfolk County,Dover,"Suburban, Large",No,492,44.6,11.03,23,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,92,20.94,4.39,84,Other/Alternative
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,1192,106.58,11.18,609,Regular
